filepath,label,class
bird_data/0 - BALTIMORE ORIOLE/0_132.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_133.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_134.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_135.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_136.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_137.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_138.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_139.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_140.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_141.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_142.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_143.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_144.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_145.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_146.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_147.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_15.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_16.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_17.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_18.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_19.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_20.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_21.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_22.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_23.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_24.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_25.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_26.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_27.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_28.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_29.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_30.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_31.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_32.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_33.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_34.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_35.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_36.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_37.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_38.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_39.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_40.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_41.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_42.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_43.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_44.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_45.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_46.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_47.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_48.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_49.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_50.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_51.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_52.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_53.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_54.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_55.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_56.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_57.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_58.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_59.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_60.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_61.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_62.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_63.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_64.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_65.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_66.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_67.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_68.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_69.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_70.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_71.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_72.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_73.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_74.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_75.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_76.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_77.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_78.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_79.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_80.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_81.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_82.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_83.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_84.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_85.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_86.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_87.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_88.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_89.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_90.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_91.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_92.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_93.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_94.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_95.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_96.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_97.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_98.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_99.jpg,0,BALTIMORE ORIOLE
bird_data/1 - NORTHERN CARDINAL/1_100.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_101.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_102.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_103.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_104.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_105.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_106.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_107.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_108.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_109.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_110.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_111.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_112.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_113.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_114.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_115.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_116.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_117.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_118.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_119.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_120.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_121.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_122.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_123.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_124.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_125.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_126.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_127.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_128.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_129.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_130.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_131.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_132.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_133.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_134.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_135.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_136.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_137.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_138.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_139.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_140.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_141.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_142.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_143.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_144.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_145.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_146.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_147.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_148.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_149.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_150.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_151.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_152.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_153.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_154.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_155.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_156.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_157.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_158.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_159.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_160.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_161.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_162.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_163.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_164.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_165.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_17.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_18.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_19.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_20.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_21.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_22.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_23.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_24.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_25.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_26.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_27.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_28.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_29.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_30.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_31.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_32.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_33.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_34.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_35.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_36.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_37.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_38.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_39.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_40.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_41.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_42.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_43.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_44.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_45.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_46.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_47.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_48.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_49.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_50.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_51.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_52.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_53.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_54.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_55.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_56.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_57.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_58.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_59.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_60.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_61.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_62.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_63.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_64.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_65.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_66.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_67.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_68.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_69.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_70.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_71.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_72.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_73.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_74.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_75.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_76.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_77.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_78.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_79.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_80.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_81.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_82.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_83.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_84.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_85.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_86.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_87.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_88.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_89.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_90.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_91.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_92.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_93.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_94.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_95.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_96.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_97.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_98.jpg,1,NORTHERN CARDINAL
bird_data/1 - NORTHERN CARDINAL/1_99.jpg,1,NORTHERN CARDINAL
bird_data/2 - MYNA/2_100.jpg,2,MYNA
bird_data/2 - MYNA/2_101.jpg,2,MYNA
bird_data/2 - MYNA/2_102.jpg,2,MYNA
bird_data/2 - MYNA/2_103.jpg,2,MYNA
bird_data/2 - MYNA/2_104.jpg,2,MYNA
bird_data/2 - MYNA/2_105.jpg,2,MYNA
bird_data/2 - MYNA/2_106.jpg,2,MYNA
bird_data/2 - MYNA/2_107.jpg,2,MYNA
bird_data/2 - MYNA/2_108.jpg,2,MYNA
bird_data/2 - MYNA/2_109.jpg,2,MYNA
bird_data/2 - MYNA/2_110.jpg,2,MYNA
bird_data/2 - MYNA/2_111.jpg,2,MYNA
bird_data/2 - MYNA/2_112.jpg,2,MYNA
bird_data/2 - MYNA/2_113.jpg,2,MYNA
bird_data/2 - MYNA/2_114.jpg,2,MYNA
bird_data/2 - MYNA/2_115.jpg,2,MYNA
bird_data/2 - MYNA/2_116.jpg,2,MYNA
bird_data/2 - MYNA/2_117.jpg,2,MYNA
bird_data/2 - MYNA/2_118.jpg,2,MYNA
bird_data/2 - MYNA/2_119.jpg,2,MYNA
bird_data/2 - MYNA/2_120.jpg,2,MYNA
bird_data/2 - MYNA/2_121.jpg,2,MYNA
bird_data/2 - MYNA/2_122.jpg,2,MYNA
bird_data/2 - MYNA/2_123.jpg,2,MYNA
bird_data/2 - MYNA/2_124.jpg,2,MYNA
bird_data/2 - MYNA/2_125.jpg,2,MYNA
bird_data/2 - MYNA/2_126.jpg,2,MYNA
bird_data/2 - MYNA/2_127.jpg,2,MYNA
bird_data/2 - MYNA/2_128.jpg,2,MYNA
bird_data/2 - MYNA/2_129.jpg,2,MYNA
bird_data/2 - MYNA/2_130.jpg,2,MYNA
bird_data/2 - MYNA/2_131.jpg,2,MYNA
bird_data/2 - MYNA/2_132.jpg,2,MYNA
bird_data/2 - MYNA/2_133.jpg,2,MYNA
bird_data/2 - MYNA/2_134.jpg,2,MYNA
bird_data/2 - MYNA/2_135.jpg,2,MYNA
bird_data/2 - MYNA/2_136.jpg,2,MYNA
bird_data/2 - MYNA/2_137.jpg,2,MYNA
bird_data/2 - MYNA/2_138.jpg,2,MYNA
bird_data/2 - MYNA/2_139.jpg,2,MYNA
bird_data/2 - MYNA/2_140.jpg,2,MYNA
bird_data/2 - MYNA/2_141.jpg,2,MYNA
bird_data/2 - MYNA/2_142.jpg,2,MYNA
bird_data/2 - MYNA/2_143.jpg,2,MYNA
bird_data/2 - MYNA/2_144.jpg,2,MYNA
bird_data/2 - MYNA/2_145.jpg,2,MYNA
